mean_free_path,geometric_altitude_km
5.355234192135531e-7,3.367003367003367
0.0000012392750374905203,6.734006734006734
0.000002657239146318606,13.468013468013469
0.000004891488015261457,16.835016835016837
0.00001221677348996793,20.202020202020204
0.000038357556345943434,26.936026936026938
0.00012997853437901074,35.35353535353536
0.00035035914477174083,42.08754208754209
0.001100038455156288,52.188552188552194
0.002965170627641892,58.92255892255893
0.008626165881366594,65.65656565656566
0.02325196322065014,74.07407407407408
0.05807311946333447,79.12457912457913
0.14504096588315607,85.85858585858587
0.3356447953228195,92.5925925925926
0.9047357242349312,97.64309764309765
2.0936832234467504,101.01010101010101
5.229094627399926,107.74410774410775
14.095105244410194,112.7946127946128
32.61801716505995,119.52861952861953
75.48258954661432,126.26262626262627
149.96276415297197,136.36363636363637
321.5484176977716,148.14814814814815
638.8266462055302,163.2996632996633
1269.1696224914608,178.45117845117846
2336.3075944262514,196.96969696969697
4300.712118415442,213.80471380471383
6297.553166125597,232.32323232323233
10741.276607918502,254.20875420875421
16975.15172008768,271.0437710437711
28953.276816719797,292.92929292929296
42396.42065463898,314.81481481481484
67001.87503509605,336.7003367003367
98111.16360401345,361.95286195286195
155051.57798326286,387.20538720538724
227042.76151388374,410.7744107744108
332459.7932270945,434.34343434343435
451070.37665314606,454.54545454545456
660504.4933079812,476.43097643097644
967179.8642975463,494.949494949495
1215867.1595360234,515.1515151515152
1780400.0522000452,538.7205387205388
2238187.5742196925,558.922558922559
2813684.2678706953,584.1750841750842
3817513.1199234207,606.0606060606061
5179474.679231224,626.2626262626263
6033069.137829713,649.8316498316499
7584329.354525073,670.0336700336701
8834251.771400249,693.6026936026936
9534459.235221567,715.4882154882156
11105769.468970275,739.0572390572391
12936036.796117948,762.6262626262627
15067938.197174976,786.1952861952863
17551183.959373035,806.3973063973065
20443676.78873989,826.5993265993267
22064053.41438335,851.851851851852
25700281.96942557,877.1043771043771
25700281.96942557,897.3063973063973
29935772.947205026,915.8249158249159
32308498.130423307,941.0774410774411
34869286.765519425,961.2794612794613
34869286.765519425,981.4814814814815
37633044.86107021,991.5824915824917
